year,name,player_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2023,"Strider, Spencer",675911,Braves,ATL,R,97.2,1823,3100,19.13580247,0.588064516,FF,4-Seam Fastball,10.6,-13.1,2.5,19,6,-7.7,-1.6,-21,0.953431373,0.267156863
2023,"Cole, Gerrit",543037,Yankees,NYY,R,96.7,1738,3281,20.25308642,0.52971655,FF,4-Seam Fastball,12,-13.6,1.6,12,8.4,-7.9,0.5,6,0.860294118,0.522058824
2023,"Burnes, Corbin",669203,Brewers,MIL,R,94.4,1705,3079,19.00617284,0.553751218,FC,Cutter,19.2,-19.7,0.5,2,3.1,2.1,1,48,0.611111111,0.697530864
2023,"Javier, Cristian",664299,Astros,HOU,R,92.8,1672,2882,17.79012346,0.580152672,FF,4-Seam Fastball,13.3,-15.9,2.6,16,5.6,-7.5,-1.9,-26,0.963235294,0.232843137
2023,"Steele, Justin",657006,Cubs,CHC,L,91.8,1613,2678,16.5308642,0.602315161,FF,4-Seam Fastball,21.5,-16.2,-5.3,-33,1.3,-6.3,-7.6,-121,0.012254902,0.009803922
2023,"Gallen, Zac",668678,D-backs,AZ,R,93.6,1594,3248,20.04938272,0.490763547,FF,4-Seam Fastball,14.4,-15.1,0.8,5,2.9,-6.8,-3.9,-58,0.696078431,0.080882353
2023,"Gausman, Kevin",592332,Blue Jays,TOR,R,94.7,1561,3069,18.94444444,0.508634734,FF,4-Seam Fastball,13.8,-14.8,1,7,10.6,-7.4,3.2,43,0.732843137,0.850490196
2023,"Snell, Blake",605483,Padres,SD,L,95.5,1541,3168,19.55555556,0.486426768,FF,4-Seam Fastball,11.4,-13,1.6,12,4.6,-5.7,-1.1,-19,0.860294118,0.316176471
2023,"Ryan, Joe",657746,Twins,MIN,R,92.3,1526,2683,16.5617284,0.568766306,FF,4-Seam Fastball,17.6,-17.7,0.1,1,10.3,-9.3,1,11,0.544117647,0.612745098
2023,"Heaney, Andrew",571760,Rangers,TEX,L,92.5,1505,2603,16.06790123,0.578179024,FF,4-Seam Fastball,18.3,-17.4,-0.9,-5,15.9,-9.3,6.5,70,0.325980392,0.990196078
2023,"Kopech, Michael",656629,White Sox,CWS,R,95.2,1492,2430,15,0.61399177,FF,4-Seam Fastball,13.1,-14.5,1.5,10,9,-7.6,1.4,19,0.855392157,0.669117647
2023,"Gore, MacKenzie",669022,Nationals,WSH,L,95,1462,2462,15.19753086,0.593826158,FF,4-Seam Fastball,12.9,-14.2,1.2,9,4.2,-7,-2.7,-39,0.791666667,0.154411765
2023,"Peralta, Freddy",642547,Brewers,MIL,R,94.4,1453,2839,17.52469136,0.51179993,FF,4-Seam Fastball,15.3,-16.1,0.9,5,6.9,-8.8,-1.9,-22,0.703431373,0.232843137
2023,"Sears, JP",676664,Athletics,OAK,L,93.1,1437,2867,17.69753086,0.501220788,FF,4-Seam Fastball,16.9,-17.1,0.2,1,11.2,-9.4,1.8,19,0.571078431,0.718137255
2023,"Castillo, Luis",622491,Mariners,SEA,R,96.3,1422,3207,19.7962963,0.443405051,FF,4-Seam Fastball,16,-15.6,-0.5,-3,12,-10.6,1.4,13,0.37745098,0.669117647
2023,"Cease, Dylan",656302,White Sox,CWS,R,95.6,1408,3262,20.13580247,0.431637032,FF,4-Seam Fastball,11.2,-13.8,2.6,19,3.2,-7,-3.9,-55,0.963235294,0.080882353
2023,"Waldichuk, Ken",686610,Athletics,OAK,L,93.3,1387,2553,15.75925926,0.543282413,FF,4-Seam Fastball,16.3,-15.8,-0.4,-3,10.2,-7.5,2.7,35,0.401960784,0.801470588
2023,"Lynn, Lance",458681,Dodgers,LAD,R,92.4,1385,3167,19.54938272,0.437322387,FF,4-Seam Fastball,18.4,-16.2,-2.2,-14,3.2,-7.2,-4,-56,0.137254902,0.078431373
2023,"Valdez, Framber",664285,Astros,HOU,L,95.3,1375,2952,18.22222222,0.465785908,SI,Sinker,20.5,-20.8,-0.3,-1,15.8,-14.9,0.9,6,0.472527473,0.659340659
2023,"Luzardo, Jesús",666200,Marlins,MIA,L,96.7,1367,2988,18.44444444,0.457496653,FF,4-Seam Fastball,15.5,-14.3,-1.2,-8,14.1,-9.4,4.7,50,0.281862745,0.953431373
2023,"Wheeler, Zack",554430,Phillies,PHI,R,95.8,1361,3155,19.47530864,0.431378764,FF,4-Seam Fastball,14.5,-14.7,0.2,1,6.3,-8.1,-1.9,-23,0.571078431,0.232843137
2023,"Giolito, Lucas",608337,Guardians,CLE,R,93.1,1338,3190,19.69135802,0.419435737,FF,4-Seam Fastball,13.5,-14.8,1.3,9,5.5,-5.9,-0.4,-6,0.823529412,0.416666667
2023,"Singer, Brady",663903,Royals,KC,R,92.1,1331,2612,16.12345679,0.50957121,SI,Sinker,22.6,-25,-2.4,-10,12.9,-15.1,-2.1,-14,0.183150183,0.10989011
2023,"Webb, Logan",657277,Giants,SF,R,87.5,1324,3182,19.64197531,0.416090509,CH,Changeup,40,-33.8,6.3,19,11.3,-14.3,-3,-21,0.97810219,0.069343066
2023,"Verlander, Justin",434378,Astros,HOU,R,94.3,1302,2602,16.0617284,0.50038432,FF,4-Seam Fastball,12.2,-13.4,1.2,9,8,-6,2,32,0.791666667,0.74754902
2023,"Nelson, Ryne",669194,D-backs,AZ,R,94.4,1285,2355,14.53703704,0.545647558,FF,4-Seam Fastball,12.6,-14.6,2,13,4.1,-6.8,-2.7,-40,0.914215686,0.154411765
2023,"Kikuchi, Yusei",579328,Blue Jays,TOR,L,95.1,1271,2818,17.39506173,0.451029099,FF,4-Seam Fastball,14.3,-15.3,1,7,9.8,-8.4,1.4,17,0.732843137,0.669117647
2023,"Cease, Dylan",656302,White Sox,CWS,R,86.3,1260,3262,20.13580247,0.386266094,SL,Slider,34.7,-35.1,-0.4,-1,2.5,4.5,-2,-45,0.455128205,0.278846154
2023,"Brown, Hunter",686613,Astros,HOU,R,95.7,1253,2720,16.79012346,0.460661765,FF,4-Seam Fastball,13.1,-13.6,0.5,4,6.1,-6.9,-0.8,-12,0.629901961,0.367647059
2023,"Megill, Tylor",656731,Mets,NYM,R,94.9,1245,2235,13.7962963,0.55704698,FF,4-Seam Fastball,15.7,-14.1,-1.6,-11,7.8,-6.9,0.9,13,0.223039216,0.588235294
2023,"Montgomery, Jordan",656756,Rangers,TEX,L,93.3,1240,2920,18.02469136,0.424657534,SI,Sinker,20.9,-20.9,0,0,15.4,-14.5,1,7,0.545787546,0.677655678
2023,"Bassitt, Chris",605135,Blue Jays,TOR,R,91.9,1234,3139,19.37654321,0.393118828,SI,Sinker,23.8,-24.2,-0.3,-1,15.9,-15,0.8,6,0.472527473,0.63003663
2023,"Ashcraft, Graham",668933,Reds,CIN,R,95.8,1227,2324,14.34567901,0.527969019,FC,Cutter,22.8,-21.8,-1,-4,2.1,1.7,0.3,19,0.37654321,0.537037037
2023,"Morton, Charlie",450203,Braves,ATL,R,82.3,1227,2842,17.54320988,0.431738213,CU,Curveball,48.3,-47.4,0.9,2,13.6,9.5,4.1,43,0.54954955,0.86036036
2023,"Miller, Bryce",682243,Mariners,SEA,R,95.1,1224,2095,12.93209877,0.58424821,FF,4-Seam Fastball,11.8,-14.7,2.9,20,3.5,-7.9,-4.4,-56,0.987745098,0.06372549
2023,"Corbin, Patrick",571578,Nationals,WSH,L,92.1,1213,2922,18.03703704,0.415126626,SI,Sinker,21.9,-22.4,-0.5,-2,14.6,-14.7,-0.2,-1,0.428571429,0.366300366
2023,"Gilbert, Logan",669302,Mariners,SEA,R,95.7,1206,2922,18.03703704,0.412731006,FF,4-Seam Fastball,12.8,-13.3,0.5,4,6.1,-6.3,-0.1,-2,0.629901961,0.450980392
2023,"Pivetta, Nick",601713,Red Sox,BOS,R,94.6,1204,2383,14.70987654,0.505245489,FF,4-Seam Fastball,10.7,-13.4,2.8,21,4,-5.5,-1.4,-26,0.985294118,0.284313725
2023,"Smyly, Drew",592767,Cubs,CHC,L,78.6,1186,2401,14.82098765,0.49396085,CU,Curveball,46.3,-54.5,-8.2,-15,3.2,5.6,-8.7,-157,0.04954955,0.004504505
2023,"Gausman, Kevin",592332,Blue Jays,TOR,R,86.3,1175,3069,18.94444444,0.382860867,FS,Split-Finger,32.2,-33,-0.8,-3,16.3,-12,4.3,36,0.367346939,1
2023,"Oviedo, Johan",670912,Pirates,PIT,R,95.8,1167,2980,18.39506173,0.391610738,FF,4-Seam Fastball,19.5,-14.4,-5.1,-36,9.8,-7.9,1.9,24,0.014705882,0.740196078
2023,"Manaea, Sean",640455,Giants,SF,L,93.6,1152,2052,12.66666667,0.561403509,FF,4-Seam Fastball,20.6,-15.6,-4.9,-32,15,-7.5,7.5,99,0.019607843,0.992647059
2023,"Scherzer, Max",453286,Rangers,TEX,R,93.7,1141,2465,15.21604938,0.462880325,FF,4-Seam Fastball,15.5,-15.7,0.3,2,10.8,-8.1,2.8,34,0.602941176,0.81372549
2023,"Williams, Trevor",592866,Nationals,WSH,R,89.7,1131,2622,16.18518519,0.431350114,FF,4-Seam Fastball,22.6,-19.8,-2.8,-14,6.4,-8.4,-2.1,-24,0.110294118,0.208333333
2023,"Greene, Hunter",668881,Reds,CIN,R,98.3,1128,2089,12.89506173,0.539971278,FF,4-Seam Fastball,13,-12.7,-0.3,-3,11.6,-8.4,3.3,39,0.426470588,0.860294118
2023,"Detmers, Reid",672282,Angels,LAA,L,94.3,1123,2599,16.04320988,0.432089265,FF,4-Seam Fastball,15.1,-14.8,-0.3,-2,11,-7.5,3.5,47,0.426470588,0.882352941
2023,"Kirby, George",669923,Mariners,SEA,R,96.1,1112,2825,17.4382716,0.393628319,FF,4-Seam Fastball,14.4,-13.8,-0.5,-4,8.3,-7.7,0.6,8,0.37745098,0.546568627
2023,"Singer, Brady",663903,Royals,KC,R,84,1098,2612,16.12345679,0.420367534,SL,Slider,37.6,-37.4,0.2,0,3.4,5.8,-2.4,-41,0.544871795,0.243589744
2023,"Flaherty, Jack",656427,Orioles,BAL,R,93.1,1097,2634,16.25925926,0.416476841,FF,4-Seam Fastball,17.9,-16.2,-1.8,-11,2.3,-7.8,-5.6,-71,0.191176471,0.039215686
2023,"Bibee, Tanner",676440,Guardians,CLE,R,94.9,1095,2326,14.35802469,0.470765262,FF,4-Seam Fastball,13.9,-13.8,-0.1,-1,4.5,-6.3,-1.7,-28,0.480392157,0.254901961
2023,"Oviedo, Johan",670912,Pirates,PIT,R,88.2,1094,2980,18.39506173,0.367114094,SL,Slider,31.7,-32.7,-1,-3,5.1,3.9,1.1,29,0.375,0.692307692
2023,"Kremer, Dean",665152,Orioles,BAL,R,94.6,1084,2925,18.05555556,0.370598291,FF,4-Seam Fastball,13.8,-14.8,0.9,6,9.7,-7.5,2.1,28,0.703431373,0.767156863
2023,"Rodriguez, Eduardo",593958,Tigers,DET,L,92.2,1076,2446,15.09876543,0.439901881,FF,4-Seam Fastball,17.5,-16.2,-1.2,-8,5.8,-6.9,-1.1,-16,0.281862745,0.316176471
2023,"Webb, Logan",657277,Giants,SF,R,92.3,1067,3182,19.64197531,0.335323696,SI,Sinker,31.3,-25.3,6,24,16,-15.2,0.8,5,0.981684982,0.63003663
