year,name,player_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Verlander, Justin",434378,Astros,HOU,R,93.8,285,560,11.66666667,0.508928571,FF,4-Seam Fastball,12,-13.3,1.3,10,8.2,-6,2.1,35,0.790575916,0.764397906
2024,"Verlander, Justin",434378,Astros,HOU,R,77.8,127,560,11.66666667,0.226785714,CU,Curveball,58.9,-57.2,1.7,3,8.2,7.3,0.9,13,0.557894737,0.594736842
2024,"Verlander, Justin",434378,Astros,HOU,R,86.7,109,560,11.66666667,0.194642857,SL,Slider,30.3,-34,-3.8,-11,5,3.2,1.8,56,0.115511551,0.742574257
2024,"Jansen, Kenley",445276,Red Sox,BOS,R,92,243,267,5.5625,0.91011236,FC,Cutter,15,-22,7,32,6.5,3,3.5,117,1,0.974842767
2024,"Chavez, Jesse",445926,Braves,ATL,R,88.3,179,309,7.022727273,0.579288026,FC,Cutter,21.8,-27,5.2,19,1.3,1.4,-2.7,-190,0.974842767,0.119496855
2024,"Chavez, Jesse",445926,Braves,ATL,R,90.4,72,309,7.022727273,0.233009709,SI,Sinker,24.6,-26.4,-1.7,-7,16.5,-15.4,1,7,0.302681992,0.624521073
2024,"Morton, Charlie",450203,Braves,ATL,R,81.3,293,730,16.59090909,0.401369863,CU,Curveball,50.4,-50.5,-0.1,0,13.1,10.6,2.5,23,0.421052632,0.763157895
2024,"Morton, Charlie",450203,Braves,ATL,R,93.9,239,730,16.59090909,0.32739726,FF,4-Seam Fastball,19.8,-15.5,-4.3,-28,13.7,-8.2,5.5,67,0.031413613,0.979057592
2024,"Morton, Charlie",450203,Braves,ATL,R,85.1,80,730,16.59090909,0.109589041,CH,Changeup,37.5,-32.6,4.9,15,18.5,-14.2,4.3,30,0.935622318,0.991416309
2024,"Morton, Charlie",450203,Braves,ATL,R,88.4,67,730,16.59090909,0.091780822,FC,Cutter,28.8,-27.3,-1.5,-5,0,2.5,-2.5,-99,0.27672956,0.13836478
2024,"Morton, Charlie",450203,Braves,ATL,R,93.2,50,730,16.59090909,0.068493151,SI,Sinker,27.4,-23.7,3.7,16,17.9,-15.4,2.4,16,0.885057471,0.946360153
2024,"Martin, Chris",455119,Red Sox,BOS,R,92.1,116,268,5.583333333,0.432835821,FC,Cutter,22.4,-22.4,0,0,1.5,2.3,-0.8,-35,0.540880503,0.377358491
2024,"Martin, Chris",455119,Red Sox,BOS,R,95.1,82,268,5.583333333,0.305970149,FF,4-Seam Fastball,14.8,-13.9,-0.9,-7,10.4,-7.1,3.3,46,0.308900524,0.863874346
2024,"Wilson, Justin",458677,Reds,CIN,L,94.9,102,187,3.978723404,0.545454545,FF,4-Seam Fastball,12.2,-13.9,1.7,12,6.2,-7.2,-1.1,-15,0.848167539,0.319371728
2024,"Lynn, Lance",458681,Cardinals,STL,R,92.1,307,814,17.31914894,0.377149877,FF,4-Seam Fastball,18.5,-16.3,-2.2,-14,4.4,-7.5,-3.1,-41,0.162303665,0.12565445
2024,"Lynn, Lance",458681,Cardinals,STL,R,88,230,814,17.31914894,0.282555283,FC,Cutter,29.3,-27.7,-1.5,-6,1.5,2.8,-1.3,-46,0.27672956,0.283018868
2024,"Lynn, Lance",458681,Cardinals,STL,R,91.2,164,814,17.31914894,0.201474201,SI,Sinker,24.3,-24.7,-0.4,-2,13.1,-15.2,-2.1,-14,0.498084291,0.107279693
2024,"Lynn, Lance",458681,Cardinals,STL,R,80.1,55,814,17.31914894,0.067567568,SL,Slider,50.7,-42.4,8.3,20,7.1,9.7,-2.6,-27,0.99009901,0.214521452
2024,"Carrasco, Carlos",471911,Guardians,CLE,R,91.1,168,738,15.375,0.227642276,FF,4-Seam Fastball,22,-16.5,-5.5,-33,3.5,-6.8,-3.3,-48,0.013089005,0.117801047
2024,"Carrasco, Carlos",471911,Guardians,CLE,R,86.3,165,738,15.375,0.223577236,CH,Changeup,35.6,-31.1,4.5,14,8,-14.3,-6.3,-44,0.927038627,0.021459227
2024,"Carrasco, Carlos",471911,Guardians,CLE,R,83.7,159,738,15.375,0.215447154,SL,Slider,37.9,-37.8,0.1,0,4.3,6.4,-2.1,-33,0.488448845,0.260726073
2024,"Carrasco, Carlos",471911,Guardians,CLE,R,90.9,147,738,15.375,0.199186992,SI,Sinker,27.4,-24,3.4,14,13.6,-15,-1.4,-9,0.862068966,0.180076628
2024,"Carrasco, Carlos",471911,Guardians,CLE,R,80.2,56,738,15.375,0.075880759,CU,Curveball,50.9,-52.4,-1.4,-3,11.3,8.9,2.4,27,0.326315789,0.747368421
2024,"García, Luis",472610,Angels,LAA,R,96.6,153,310,6.458333333,0.493548387,SI,Sinker,17.7,-18.7,-1,-5,14.3,-14.5,-0.2,-1,0.402298851,0.363984674
