name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Greene, Hunter",668881,CIN,FF,4-Seam Fastball,1.6,9,574,57.5,151,0.194,0.287,0.26,26.6,33.8,25.1,0.168,0.265,0.242,38.6
"Harrison, Kyle",690986,SF,FF,4-Seam Fastball,1.3,7,563,65,143,0.224,0.336,0.299,21.9,23.1,19.5,0.211,0.37,0.303,47.8
"Glasnow, Tyler",607192,LAD,FF,4-Seam Fastball,1.9,9,496,53.7,136,0.198,0.372,0.3,20,26.5,29.5,0.194,0.345,0.28,36.5
"Rodón, Carlos",607074,NYY,FF,4-Seam Fastball,1.8,9,516,55,128,0.246,0.492,0.335,17.2,14.1,14.3,0.295,0.594,0.397,51.5
"Paxton, James",572020,LAD,FF,4-Seam Fastball,1.4,7,458,62.4,122,0.22,0.31,0.304,13.8,11.5,11,0.283,0.458,0.396,45.5
"Hicks, Jordan",663855,SF,SI,Sinker,1.2,5,447,51.6,121,0.288,0.378,0.339,11.5,9.1,13.8,0.285,0.434,0.341,47
"Peralta, Freddy",642547,MIL,FF,4-Seam Fastball,0.2,1,425,51.8,119,0.257,0.386,0.333,26,30.3,26.9,0.28,0.46,0.369,46.3
"McKenzie, Triston",663474,CLE,FF,4-Seam Fastball,-0.9,-4,409,53.6,118,0.253,0.473,0.407,11.3,10.2,14,0.324,0.651,0.47,46.3
"Imanaga, Shota",684007,CHC,FF,4-Seam Fastball,3,13,454,58.2,117,0.164,0.227,0.21,23.3,23.1,22.1,0.232,0.395,0.293,51.8
"Burnes, Corbin",669203,BAL,FC,Cutter,2,8,419,44.9,117,0.224,0.355,0.288,19.1,16.2,16.8,0.252,0.377,0.306,42
"Webb, Logan",657277,SF,CH,Changeup,0.6,2,353,36.2,117,0.301,0.416,0.325,17.8,12.8,14.9,0.346,0.518,0.381,54.1
"Gil, Luis",661563,NYY,FF,4-Seam Fastball,1.2,6,478,56,117,0.167,0.271,0.274,30.6,31.6,24.2,0.198,0.313,0.303,35
"Cortes, Nestor",641482,NYY,FF,4-Seam Fastball,-0.4,-2,458,49.4,111,0.26,0.462,0.335,20.9,21.6,17.9,0.223,0.421,0.299,47.5
"Ashcraft, Graham",668933,CIN,FC,Cutter,-0.2,-1,382,44.9,110,0.316,0.51,0.413,16.6,13.6,14.7,0.309,0.522,0.392,49.4
"Cease, Dylan",656302,SD,SL,Slider,1.1,5,399,40.7,110,0.158,0.297,0.231,43.5,39.1,27.2,0.169,0.299,0.227,32.8
"Falter, Bailey",663559,PIT,FF,4-Seam Fastball,1.9,6,348,51,109,0.177,0.281,0.242,20.4,15.6,21.8,0.234,0.38,0.307,36.1
"Houck, Tanner",656557,BOS,SL,Slider,2.5,10,406,42.3,106,0.176,0.216,0.201,28.3,32.1,23.1,0.226,0.327,0.254,35.3
"Castillo, Luis",622491,SEA,FF,4-Seam Fastball,1.7,8,455,46.3,106,0.216,0.361,0.281,25.8,32.1,22.2,0.206,0.367,0.278,40.6
"Allen, Logan",671106,CLE,FF,4-Seam Fastball,-1.7,-7,416,47.9,106,0.365,0.615,0.438,17.6,14.2,14.7,0.321,0.562,0.402,46.3
"Gore, MacKenzie",669022,WSH,FF,4-Seam Fastball,0.3,1,464,54.7,106,0.274,0.389,0.347,23.5,25.5,19.7,0.243,0.344,0.298,39.7
"Singer, Brady",663903,KC,SL,Slider,0.1,1,414,44,105,0.188,0.365,0.268,38.4,35.2,23,0.232,0.388,0.296,38.3
"Sale, Chris",519242,ATL,SL,Slider,2.8,10,351,40.7,104,0.141,0.162,0.165,40.8,38.5,28.8,0.143,0.201,0.17,16.7
"Abbott, Andrew",671096,CIN,FF,4-Seam Fastball,0.5,2,445,54.1,101,0.225,0.438,0.33,13.2,18.8,14.4,0.224,0.382,0.309,41.4
"Gallen, Zac",668678,AZ,FF,4-Seam Fastball,0.6,3,408,50.4,101,0.27,0.506,0.372,15.7,20.8,21.9,0.273,0.506,0.374,55.9
"Flaherty, Jack",656427,DET,FF,4-Seam Fastball,-1.5,-5,371,42.8,100,0.283,0.478,0.355,28,30,27,0.277,0.455,0.343,37.1
"Crochet, Garrett",676979,CWS,FF,4-Seam Fastball,0.8,4,444,51.5,100,0.165,0.286,0.24,25.7,29,20.7,0.174,0.258,0.232,37.1
"Gray, Jon",592351,TEX,FF,4-Seam Fastball,0.1,0,347,41.5,99,0.289,0.4,0.335,17.8,21.2,17.4,0.303,0.475,0.365,58
"Heaney, Andrew",571760,TEX,FF,4-Seam Fastball,1.4,6,425,56,99,0.159,0.341,0.284,25.5,27.3,18.8,0.166,0.351,0.27,43.5
"Singer, Brady",663903,KC,SI,Sinker,2.2,9,384,40.8,99,0.244,0.378,0.316,9.4,20.2,21.7,0.277,0.477,0.354,45.7
"Jones, Jared",683003,PIT,FF,4-Seam Fastball,0.6,2,375,49.3,99,0.215,0.441,0.294,30.8,26.3,24.3,0.236,0.464,0.315,45.6
"Sánchez, Cristopher",650911,PHI,SI,Sinker,-1.5,-6,390,48.9,98,0.36,0.465,0.437,9.1,7.1,9.3,0.346,0.471,0.391,52.5
"Gray, Jon",592351,TEX,SL,Slider,2.2,8,376,45,98,0.185,0.272,0.235,35.6,27.6,22.3,0.221,0.327,0.259,33.3
"Stroman, Marcus",573186,NYY,SI,Sinker,0,0,378,39.8,97,0.244,0.397,0.376,15.4,14.4,15.7,0.251,0.399,0.359,43.8
"Berríos, José",621244,TOR,SI,Sinker,1.6,5,323,35.3,96,0.259,0.346,0.336,10.1,12.5,15.2,0.31,0.477,0.393,53.6
"López, Reynaldo",625643,ATL,FF,4-Seam Fastball,1.5,6,397,58,96,0.247,0.321,0.315,17.7,16.7,18,0.255,0.377,0.334,45.5
"Ragans, Cole",666142,KC,FF,4-Seam Fastball,2.1,8,366,39.9,96,0.176,0.294,0.252,23.3,27.1,24.1,0.243,0.422,0.323,42.6
"Cease, Dylan",656302,SD,FF,4-Seam Fastball,0.7,3,428,43.6,95,0.163,0.225,0.271,21.8,22.1,20,0.198,0.37,0.312,39
"Nola, Aaron",605400,PHI,CU,Curveball,1.4,4,302,31.4,94,0.183,0.29,0.22,31,33,26.1,0.224,0.32,0.238,30.6
"Anderson, Tyler",542881,LAA,CH,Changeup,2.6,8,296,35.2,93,0.181,0.229,0.235,39,29,29.7,0.219,0.311,0.278,21.4
"Paddack, Chris",663978,MIN,FF,4-Seam Fastball,1.2,4,343,41.6,93,0.315,0.404,0.325,27.8,33.3,29.8,0.253,0.376,0.287,49.2
"Gausman, Kevin",592332,TOR,FF,4-Seam Fastball,-2,-7,373,47.2,93,0.376,0.635,0.457,17.7,20.4,17,0.348,0.645,0.456,52.2
