"last_name, first_name",pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_splitter,active_spin_curve,active_spin_slider,active_spin_sweeper,active_spin_slurve
"Bolton, Cody",R,,72.4,38.5,77.7,,,,56.3,
"Walker, Ryan",R,,72.0,,,,,58.4,,
"Bender, Anthony",R,,79.0,,85.0,,,,48.2,
"Clase, Emmanuel",R,,,61.4,,,,40.3,,
"Faucher, Calvin",R,,89.7,22.5,,,70.7,,,
"Mayza, Tim",L,,83.2,,,,,13.4,,
"Fulmer, Carson",R,,79.5,,93.2,,51.7,30.4,,
"Hernández, Jonathan",R,,91.2,,93.0,,,30.8,,
"Houck, Tanner",R,,76.8,14.4,,82.6,,65.4,,
"Fleming, Josh",L,,91.3,54.3,81.5,,,,,
"Winckowski, Josh",R,,85.9,34.4,93.0,,,35.8,,
"Fedde, Erick",R,,74.5,54.5,71.5,,,,41.8,
"Bello, Brayan",R,,92.7,,98.7,,,27.0,,
"Fernandez, Ryan",R,,98.0,54.7,,,,22.0,,
"Funderburk, Kody",L,,80.3,58.0,,,,53.9,,
"Leiter Jr., Mark",R,,89.6,51.9,,84.7,93.6,,51.0,
"Saucedo, Tayler",L,,88.8,,93.9,,,26.9,,
"Smyly, Drew",L,,99.5,,,,37.3,,,
"King, John",L,,80.1,,95.3,,,18.8,,
"Cronin, Declan",R,,71.3,,,,,28.4,,
"Maldonado, Anthony",R,,97.1,,,,,21.3,,
"Matz, Steven",L,,99.6,,82.0,,80.7,32.2,,
"Tonkin, Michael",R,,90.6,,,,,32.2,58.6,
"Bird, Jake",R,,85.2,51.1,,,80.0,56.9,,
"Ashcraft, Graham",R,,56.3,57.9,74.1,,,30.1,,
"Blach, Ty",L,,99.2,18.8,99.6,,52.5,,,
"Hjelle, Sean",R,,77.2,58.6,,,53.6,,,
"Holmes, Clay",R,,75.4,,,,,28.5,56.7,
"Roupp, Landen",R,,90.2,,85.9,,89.3,49.5,,
"Rogers, Taylor",L,,87.0,,,,,,61.0,
"González, Victor",L,,99.1,,98.6,,,13.7,,
"Lawrence, Justin",R,,76.1,,,,,,54.2,
"Jefferies, Daulton",R,,96.1,73.7,97.5,,,28.6,,
"Doval, Camilo",R,,62.9,68.1,,,,30.3,,
"Quantrill, Cal",R,,98.8,35.1,97.3,93.2,31.6,,,
"Rogers, Tyler",R,,67.6,,,,,53.5,,
"Emanuel, Kent",L,,79.8,,84.1,,,,58.9,
"Hartwig, Grant",R,,97.9,64.8,,,,,41.8,
"Koenig, Jared",L,,79.5,51.7,,,80.0,,,
"McFarland, T.J.",L,,84.1,,91.0,,,,68.0,
"Chavez, Jesse",R,,93.5,68.2,98.0,,80.7,,,
"Raley, Brooks",L,,,34.6,87.7,,,,59.3,
"Spence, Mitch",R,,44.8,29.5,,,84.0,61.3,,
"Mantiply, Joe",L,,93.1,,98.8,,44.2,,,
"Castro, Miguel",R,,97.8,,93.4,,,61.0,,
"Robertson, David",R,,,74.3,86.2,,66.8,50.8,,
"Bowman, Matt",R,,88.6,60.0,,82.8,,,56.5,
"Uribe, Abner",R,,69.9,,,,,34.7,,
"Grove, Michael",R,,86.2,65.0,,,80.3,32.9,,
"Wood, Alex",L,,99.6,,98.0,,,44.4,,
