year,"last_name, first_name",name_abbrev,player_id,pitch_hand,pitch_comp,pitch_a,pitch_name_a,pitch_b,pitch_name_b,n_pitches,n_pitch_a,pitch_a_active_spin_formatted,pitch_a_hawkeye_measured_clock,pitch_a_hawkeye_measured_clock_label,pitch_a_movement_inferred_clock,pitch_a_movement_inferred_clock_label,pitch_a_diff_measured_inferred_minutes,n_pitch_b,pitch_b_active_spin_formatted,pitch_b_hawkeye_measured_clock,pitch_b_hawkeye_measured_clock_label,pitch_b_movement_inferred_clock,pitch_b_movement_inferred_clock_label,pitch_b_diff_measured_inferred_minutes,gap_diff_measured_inferred_minutes,diff_clock_label,diff_measured_hours,diff_inferred_hours
2024,"Walker, Josh",,677020,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,71,37,86,12.75,12:45,12.25,12:15,30,34,84,1.0,1:00,2.0,2:00,-60,-90,-0H 15M,-0.25,-1.75
2024,"Suarez, José",,660761,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,232,176,92,1.25,1:15,1.0,1:00,15,56,92,1.0,1:00,1.75,1:45,-45,-60,+0H 15M,0.25,-0.75
2024,"Banks, Tanner",,621383,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,102,83,85,12.75,12:45,12.5,12:30,15,19,80,1.0,1:00,2.0,2:00,-60,-75,-0H 15M,-0.25,-1.5
2024,"Pérez, Cionel",,672335,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,97,30,88,1.25,1:15,1.0,1:00,15,67,85,1.0,1:00,2.25,2:15,-75,-90,+0H 15M,0.25,-1.25
2024,"Morejon, Adrian",,670970,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,135,79,90,1.0,1:00,12.75,12:45,15,56,85,1.0,1:00,2.0,2:00,-60,-75, 0H 00M,0.0,-1.25
2024,"Corbin, Patrick",,571578,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,385,96,81,1.0,1:00,1.25,1:15,-15,289,82,1.0,1:00,2.0,2:00,-60,-45, 0H 00M,0.0,-0.75
2024,"Sandoval, Patrick",,663776,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,307,153,94,1.0,1:00,1.0,1:00,0,154,94,1.0,1:00,1.5,1:30,-30,-30, 0H 00M,0.0,-0.5
2024,"Montgomery, Jordan",,656756,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,247,68,81,1.25,1:15,12.75,12:45,30,179,86,1.0,1:00,2.0,2:00,-60,-90,+0H 15M,0.25,-1.25
2024,"Liberatore, Matthew",,669461,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,188,104,95,1.0,1:00,12.75,12:45,15,84,91,1.0,1:00,1.5,1:30,-30,-45, 0H 00M,0.0,-0.75
2024,"Henry, Tommy",,674072,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,251,142,92,1.25,1:15,1.0,1:00,15,109,93,1.25,1:15,1.75,1:45,-30,-45, 0H 00M,0.0,-0.75
2024,"Wicks, Jordan",,696136,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,257,194,88,12.75,12:45,12.5,12:30,15,63,95,1.25,1:15,1.75,1:45,-30,-45,-0H 30M,-0.5,-1.25
2024,"Okert, Steven",,595345,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,77,61,89,1.25,1:15,1.0,1:00,15,16,85,1.25,1:15,2.0,2:00,-45,-60, 0H 00M,0.0,-1.0
2024,"Skubal, Tarik",,669373,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,398,222,97,1.25,1:15,1.0,1:00,15,176,94,1.25,1:15,1.75,1:45,-30,-45, 0H 00M,0.0,-0.75
2024,"Holton, Tyler",,663947,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,109,45,86,1.25,1:15,12.75,12:45,30,64,82,1.25,1:15,2.0,2:00,-45,-75, 0H 00M,0.0,-1.25
2024,"Chafin, Andrew",,605177,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,117,24,95,1.25,1:15,1.0,1:00,15,93,94,1.25,1:15,1.75,1:45,-30,-45, 0H 00M,0.0,-0.75
2024,"Ferguson, Caleb",,657571,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,199,174,91,1.25,1:15,1.0,1:00,15,25,88,1.25,1:15,2.0,2:00,-45,-60, 0H 00M,0.0,-1.0
2024,"Suárez, Ranger",,624133,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,399,158,79,1.5,1:30,1.0,1:00,30,241,72,1.25,1:15,2.5,2:30,-75,-105,+0H 15M,0.25,-1.5
2024,"Lynch IV, Daniel",,663738,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,55,44,95,1.25,1:15,1.0,1:00,15,11,87,1.25,1:15,2.0,2:00,-45,-60, 0H 00M,0.0,-1.0
2024,"Alexander, Tyler",,641302,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,247,171,91,1.0,1:00,1.0,1:00,0,76,91,1.25,1:15,2.0,2:00,-45,-45,-0H 15M,-0.25,-1.0
2024,"Cabrera, Génesis",,650893,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,120,66,96,1.25,1:15,1.0,1:00,15,54,97,1.25,1:15,1.75,1:45,-30,-45, 0H 00M,0.0,-0.75
2024,"Cleavinger, Garrett",,664076,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,125,88,88,1.25,1:15,1.0,1:00,15,37,83,1.25,1:15,2.0,2:00,-45,-60, 0H 00M,0.0,-1.0
2024,"Puk, A.J.",,640462,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,195,125,84,1.5,1:30,1.0,1:00,30,70,86,1.5,1:30,2.25,2:15,-45,-75, 0H 00M,0.0,-1.25
2024,"Jay, Tyler",,664079,L,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,30,12,96,1.5,1:30,1.5,1:30,0,18,94,1.5,1:30,2.0,2:00,-30,-30, 0H 00M,0.0,-0.5
