year,"last_name, first_name",name_abbrev,player_id,pitch_hand,pitch_comp,pitch_a,pitch_name_a,pitch_b,pitch_name_b,n_pitches,n_pitch_a,pitch_a_active_spin_formatted,pitch_a_hawkeye_measured_clock,pitch_a_hawkeye_measured_clock_label,pitch_a_movement_inferred_clock,pitch_a_movement_inferred_clock_label,pitch_a_diff_measured_inferred_minutes,n_pitch_b,pitch_b_active_spin_formatted,pitch_b_hawkeye_measured_clock,pitch_b_hawkeye_measured_clock_label,pitch_b_movement_inferred_clock,pitch_b_movement_inferred_clock_label,pitch_b_diff_measured_inferred_minutes,gap_diff_measured_inferred_minutes,diff_clock_label,diff_measured_hours,diff_inferred_hours
2024,"Ross, Joe",,605452,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,320,109,86,1.0,1:00,12.75,12:45,15,211,79,1.0,1:00,2.0,2:00,-60,-75, 0H 00M,0.0,-1.25
2024,"Winn, Cole",,668390,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,100,85,94,1.0,1:00,12.75,12:45,15,15,92,1.0,1:00,1.75,1:45,-45,-60, 0H 00M,0.0,-1.0
2024,"Rea, Colin",,607067,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,366,139,81,1.0,1:00,1.0,1:00,0,227,79,1.0,1:00,2.0,2:00,-60,-60, 0H 00M,0.0,-1.0
2024,"Adon, Joan",,672851,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,44,30,90,1.0,1:00,1.25,1:15,-15,14,87,1.0,1:00,1.75,1:45,-45,-30, 0H 00M,0.0,-0.5
2024,"Lugo, Seth",,607625,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,424,221,84,1.0,1:00,12.75,12:45,15,203,80,1.0,1:00,2.0,2:00,-60,-75, 0H 00M,0.0,-1.25
2024,"Faedo, Alex",,656412,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,148,128,90,1.25,1:15,1.0,1:00,15,20,87,1.0,1:00,2.0,2:00,-60,-75,+0H 15M,0.25,-1.0
2024,"Ruiz, José",,614179,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,56,31,94,1.0,1:00,12.75,12:45,15,25,94,1.0,1:00,1.75,1:45,-45,-60, 0H 00M,0.0,-1.0
2024,"Lynn, Lance",,458681,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,468,304,74,1.0,1:00,12.75,12:45,15,164,69,1.0,1:00,2.0,2:00,-60,-75, 0H 00M,0.0,-1.25
2024,"Avila, Nick",,687014,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,90,63,86,1.0,1:00,12.5,12:30,30,27,86,1.0,1:00,1.75,1:45,-45,-75, 0H 00M,0.0,-1.25
2024,"Gallen, Zac",,668678,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,411,401,84,12.75,12:45,12.5,12:30,15,10,90,1.0,1:00,1.0,1:00,0,-15,-0H 15M,-0.25,-0.5
2024,"Manoah, Alek",,666201,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,154,75,83,1.0,1:00,12.75,12:45,15,79,81,1.0,1:00,1.75,1:45,-45,-60, 0H 00M,0.0,-1.0
2024,"Poteet, Cody",,547001,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,43,14,77,1.0,1:00,12.75,12:45,15,29,71,1.0,1:00,2.25,2:15,-75,-90, 0H 00M,0.0,-1.5
