actual,prediction,Delta,ID,name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,Season,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
5.7,4.345611802,1.354388198,957,"Romero, JoJo",668941,STL,SL,Slider,5.7,7,117,31.9,34,0,0,0,0.620904836,0.639945652,0.653679654,0.193406593,0.080582524,0.127147766,0.15625,1,0.449848024,117,0.070790816,0.262962082,0.31880109,0.472477064,0.531400966,0.578740157,0.578947368,0.483568075,0.674418605,0.651260504,0.685443391,0.488448845,0.742574257
3.8,4.153897704,-0.353897704,1290,"Slaten, Justin",686580,BOS,FC,Cutter,3.8,6,150,40.5,38,0.319796954,0.15917465,0.203480589,0.411856474,0.286684783,0.911255411,0.479120879,0.27184466,0.326460481,0.56,1,0.671732523,150,0.071747449,0.257462525,0.405405405,0.27675841,0.760064412,0.515748031,0.515789474,0.201877934,0.527131783,0.638655462,0.703848299,0.27672956,0.786163522
3.8,4.123041774,-0.323041774,140,"García, Yimi",554340,TOR,FF,4-Seam Fastball,3.8,3,77,29.7,25,0.072758037,0.064112012,0.053547523,0.521060842,0.652173913,0.603896104,0.096703297,0.083495146,0.070446735,0.3125,1,0.844984802,77,0.036352041,0.143389576,0.297297297,0.110091743,0.898550725,0.606299213,0.631578947,0.502347418,0.214470284,0.634453782,0.682097044,0.685863874,0.672774869
4.3,4.049579422,0.250420578,537,"Marte, Yunior",628708,PHI,SI,Sinker,4.3,4,87,39.2,25,0.147208122,0.064112012,0.164658635,0.27301092,0.489130435,0.928571429,0.351648352,0.249514563,0.310996564,0.17875,1,0.808510638,87,0.024553571,0.088192987,0.391891892,0.185015291,0.785829308,0.460629921,0.442105263,0.845070423,0.054263566,0.680672269,0.682654769,0.195402299,0.957854406
4.8,3.973318177,0.826681823,605,"Saucedo, Tayler",642048,SEA,SI,Sinker,4.8,4,89,43.8,29,0.250423012,0.109064112,0.175368139,0.315132605,0.375,0.911255411,0.402197802,0.195145631,0.283505155,0.46,1,0.683890578,89,0.018494898,0.066462439,0.438423645,0.344036697,0.742351047,0.75984252,0.778947368,0.82629108,0.056847545,0.672268908,0.682097044,0.938697318,0.911877395
4.8,3.767834642,1.032165358,1014,"Weissert, Greg",669711,BOS,FF,4-Seam Fastball,4.8,4,83,25.9,26,0.067681895,0.029476787,0.02811245,0.344773791,0.730978261,0.532467532,0.189010989,0.082524272,0.104810997,0.2275,1,0.765957447,83,0.056122449,0.201420584,0.258566978,0.155963303,0.879227053,0.535433071,0.515789474,0.41314554,0.204134367,0.537815126,0.668711656,0.298429319,0.340314136
2.2,3.731995958,-1.531995958,353,"Rea, Colin",607067,MIL,ST,Sweeper,2.2,3,130,16.5,27,0,0,0.049531459,0.302652106,0.351902174,0.344155844,0.29010989,0.191262136,0.274914089,0.1475,1,0.389057751,130,0.20567602,0.757046138,0.164556962,0.539755352,0.513687601,0.708661417,0.673684211,0.615023474,0.819121447,0.533613445,0.669827105,0.791304348,0.304347826
3.6,3.654854703,-0.054854703,775,"Suarez, Robert",663158,SD,FF,4-Seam Fastball,3.6,8,220,79.7,57,0.159052453,0.083271923,0.145917001,0.390015601,0.33423913,0.41991342,0.27032967,0.232038835,0.257731959,0.44875,1,0.902735562,220,0.041772959,0.137326902,0.797101449,0.050458716,0.954911433,0.622047244,0.684210526,0.338028169,0.258397933,0.558823529,0.670942554,0.777486911,0.405759162
3.9,3.545037244,0.354962756,1089,"Bradford, Cody",674003,TEX,FF,4-Seam Fastball,3.9,5,132,49.4,41,0.169204738,0.128960943,0.121820616,0.352574103,0.331521739,0.461038961,0.369230769,0.289320388,0.295532646,0.54125,1,0.653495441,131,0.038903061,0.139660077,0.490636704,0.120795107,0.884057971,0.614173228,0.652631579,0.272300469,0.30749354,0.579831933,0.674846626,0.735602094,0.471204188
2.2,3.510391067,-1.310391067,792,"McKenzie, Triston",663474,CLE,SL,Slider,2.2,4,163,21.4,29,0.181049069,0.078850405,0.101740295,0.538221529,0.327445652,0.432900433,0.171428571,0.072815534,0.085910653,0.17875,1,0.492401216,163,0.197066327,0.706941771,0.213630406,0.319571865,0.558776167,0.251968504,0.336842105,0.258215962,0.57881137,0.605042017,0.68153932,0,0.630363036
