Season,name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm
2024,"Garcia, Robert",676395,L,CH,54,87.1,1719,16.1,0.808232435,0.856913802,117.1704636,91.05400153,Changeup,86,120,180,26.11646207,26.11646207,-60,2,0,3,0,1,0
2024,"Quintana, Jose",500779,L,CH,149,85.5,1281,14.9,0.869765659,0.915381923,130.3412116,105.0178017,Changeup,92,105,150,25.32340996,25.32340996,-45,1,45,2,30,0,45
2024,"Lodolo, Nick",666157,L,CH,89,87.4,2055,19.3,0.905602003,0.929372146,107.7345319,87.71924183,Changeup,93,150,180,20.01529004,20.01529004,-30,2,30,3,0,0,30
2024,"France, J.P.",641585,R,CH,106,82.3,1984,18.6,0.873247899,0.971580362,226.6641381,237.9600235,Changeup,97,630,600,-11.29588544,11.29588544,30,10,30,10,0,0,30
2024,"Peralta, Wandy",593974,L,CH,116,88.3,2161,17.8,0.84380748,0.863535645,124.7739969,100.8156147,Changeup,86,105,165,23.95838217,23.95838217,-60,1,45,2,45,1,0
2024,"Sears, JP",676664,L,CH,184,84.4,1685,18.7,0.943282424,0.977945596,104.635364,90.01918089,Changeup,98,150,180,14.61618311,14.61618311,-30,2,30,3,0,0,30
2024,"Cecconi, Slade",677944,R,CH,65,81.2,1892,15.9,0.767436741,0.90525339,235.4676638,254.4762304,Changeup,91,615,570,-19.00856661,19.00856661,45,10,15,9,30,0,45
2024,"Blackburn, Paul",621112,R,CH,128,85.5,1732,13.5,0.672936015,0.736830716,209.49012,246.7972184,Changeup,74,660,585,-37.30709849,37.30709849,75,11,0,9,45,1,15
2024,"Gil, Luis",661563,R,CH,214,91,1766,16.9,0.868942685,0.843108559,223.1625035,256.5370058,Changeup,84,630,570,-33.37450231,33.37450231,60,10,30,9,30,1,0
2024,"Elder, Bryce",693821,R,CH,52,84.7,2162,13.2,0.620570938,0.713359653,214.8100196,250.6159977,Changeup,71,645,585,-35.8059781,35.8059781,60,10,45,9,45,1,0
2024,"Hendricks, Kyle",543294,R,CH,251,80.9,2175,15.8,0.710626237,0.774378652,227.3413617,242.753735,Changeup,77,630,600,-15.41237336,15.41237336,30,10,30,10,0,0,30
2024,"Vodnik, Victor",680767,R,CH,62,89.4,1814,15,0.808516331,0.835887746,243.051535,273.2872254,Changeup,84,600,540,-30.23569036,30.23569036,60,10,0,9,0,1,0
2024,"Flexen, Chris",623167,R,CH,110,81,1308,15.3,0.866050968,0.976641346,217.4614927,238.2668548,Changeup,98,645,600,-20.80536206,20.80536206,45,10,45,10,0,0,45
2024,"Gomber, Austin",596295,L,CH,191,80.6,1633,14.3,0.772676627,0.985345489,121.1480637,133.9468263,Changeup,99,120,90,-12.79876263,12.79876263,30,2,0,1,30,0,30
2024,"Banks, Tanner",621383,L,CH,67,86.3,1858,14.3,0.704638044,0.811816301,145.9530663,111.0490604,Changeup,81,75,135,34.90400592,34.90400592,-60,1,15,2,15,1,0
2024,"Severino, Luis",622663,R,CH,74,86.1,1555,16.4,0.860714624,0.980783661,246.8442265,245.28812,Changeup,98,585,585,1.556106532,1.556106532,0,9,45,9,45,0,0
2024,"Weathers, Ryan",677960,L,CH,226,86.3,1797,14.6,0.729550177,0.854887894,122.2703857,105.2497832,Changeup,85,120,150,17.02060246,17.02060246,-30,2,0,2,30,0,30
2024,"Wicks, Jordan",696136,L,CH,115,82.3,1522,13.4,0.710856496,0.95033312,127.0991726,115.4307733,Changeup,95,105,135,11.66839935,11.66839935,-30,1,45,2,15,0,30
2024,"Sale, Chris",519242,L,CH,114,86.8,1823,16.8,0.860769201,0.99430331,94.91550841,86.37549899,Changeup,99,165,180,8.540009427,8.540009427,-15,2,45,3,0,0,15
2024,"Fried, Max",608331,L,CH,124,86,1490,14.2,0.780377522,0.845435584,133.9432934,105.9110973,Changeup,85,90,150,28.03219614,28.03219614,-60,1,30,2,30,1,0
2024,"Feltner, Ryan",663372,R,CH,123,85.5,1626,7.5,0.417007005,0.671968549,206.8417141,240.3121416,Changeup,67,660,600,-33.47042748,33.47042748,60,11,0,10,0,1,0
2024,"Blach, Ty",621389,L,CH,70,80.2,1987,16.1,0.815403986,0.996342758,89.22436493,78.77177533,Changeup,100,180,195,10.4525896,10.4525896,-15,3,0,3,15,0,15
2024,"Fulmer, Carson",608334,R,CH,112,87.8,1444,16.4,0.91792584,0.93227525,234.8847248,257.2284956,Changeup,93,615,570,-22.34377084,22.34377084,45,10,15,9,30,0,45
2024,"Mantiply, Joe",573009,L,CH,80,80.8,1688,16.4,0.848552969,0.988204145,75.81055925,67.71863785,Changeup,99,210,225,8.091921391,8.091921391,-15,3,30,3,45,0,15
2024,"Luzardo, Jesús",666200,L,CH,142,86.7,1969,19,0.903054151,0.993298485,117.1889996,114.0701067,Changeup,99,120,135,3.118892888,3.118892888,-15,2,0,2,15,0,15
2024,"Irvin, Cole",608344,L,CH,80,85.1,1553,16.6,0.874090914,0.990923226,124.9732945,112.2887901,Changeup,99,105,135,12.68450441,12.68450441,-30,1,45,2,15,0,30
2024,"Bibee, Tanner",676440,R,CH,171,82.6,1976,18.4,0.862506658,0.893876692,213.0276754,233.7785928,Changeup,89,660,615,-20.7509174,20.7509174,45,11,0,10,15,0,45
2024,"Shuster, Jared",694363,L,CH,91,83,1604,15.6,0.810303724,0.982669832,127.4014167,125.1702099,Changeup,98,105,105,2.231206816,2.231206816,0,1,45,1,45,0,0
2024,"Beeks, Jalen",656222,L,CH,89,89.1,2060,18.5,0.911795615,0.933216119,132.2519318,114.7466424,Changeup,93,90,135,17.50528942,17.50528942,-45,1,30,2,15,0,45
